stat.question_id,stat.frontend_question_id,stat.question__title,stat.question__title_slug,stat.total_acs,stat.total_submitted
3415,3142,Check if Grid Satisfies Conditions,check-if-grid-satisfies-conditions,21956,55211
3412,3146,Permutation Difference between Two Strings,permutation-difference-between-two-strings,25082,28140
3408,3120,Count the Number of Special Characters I,count-the-number-of-special-characters-i,36068,55629
3398,3127,Make a Square with the Same Color,make-a-square-with-the-same-color,21278,42490
3397,3131,Find the Integer Added to Array I,find-the-integer-added-to-array-i,37167,45796
3396,3136,Valid Word,valid-word,29611,83800
3381,3095,Shortest Subarray With OR at Least K I,shortest-subarray-with-or-at-least-k-i,24344,60246
3379,3110,Score of a String,score-of-a-string,53073,57342
3372,3105,Longest Strictly Increasing or Strictly Decreasing Subarray,longest-strictly-increasing-or-strictly-decreasing-subarray,35882,62866
3371,3099,Harshad Number,harshad-number,45332,54763
3367,3079,Find the Sum of Encrypted Integers,find-the-sum-of-encrypted-integers,37689,51258
3361,3114,Latest Time You Can Obtain After Replacing Characters,latest-time-you-can-obtain-after-replacing-characters,29528,84030
3353,3083,Existence of a Substring in a String and Its Reverse,existence-of-a-substring-in-a-string-and-its-reverse,39512,59701
3349,3090,Maximum Length Substring With Two Occurrences,maximum-length-substring-with-two-occurrences,33514,52752
3347,3069,Distribute Elements Into Two Arrays I,distribute-elements-into-two-arrays-i,38261,53343
3334,3074,Apple Redistribution into Boxes,apple-redistribution-into-boxes,40882,61988
3331,3065,Minimum Operations to Exceed Threshold Value I,minimum-operations-to-exceed-threshold-value-i,47248,55464
3330,3033,Modify the Matrix,modify-the-matrix,34951,51524
3324,3046,Split the Array,split-the-array,42401,73531
3321,3024,Type of Triangle,type-of-triangle,38775,101534
3320,3038,Maximum Number of Operations With the Same Score I,maximum-number-of-operations-with-the-same-score-i,30492,59330
3312,3019,Number of Changing Keys,number-of-changing-keys,42235,52558
3311,3028,Ant on the Boundary,ant-on-the-boundary,41044,54890
3309,3042,Count Prefix and Suffix Pairs I,count-prefix-and-suffix-pairs-i,32989,51414
3275,3014,Minimum Number of Pushes to Type Word I,minimum-number-of-pushes-to-type-word-i,30980,48828
3263,3010,Divide an Array Into Subarrays With Minimum Cost I,divide-an-array-into-subarrays-with-minimum-cost-i,30174,46084
3252,2970,Count the Number of Incremovable Subarrays I,count-the-number-of-incremovable-subarrays-i,17564,34764
3251,3000,Maximum Area of Longest Diagonal Rectangle,maximum-area-of-longest-diagonal-rectangle,31763,89423
3246,2980,Check if Bitwise OR Has Trailing Zeros,check-if-bitwise-or-has-trailing-zeros,29964,42835
3242,3005,Count Elements With Maximum Frequency,count-elements-with-maximum-frequency,193712,244628
3236,2996,Smallest Missing Integer Greater Than Sequential Prefix Sum,smallest-missing-integer-greater-than-sequential-prefix-sum,26387,83018
3227,2965,Find Missing and Repeated Values,find-missing-and-repeated-values,40968,54587
3226,2974,Minimum Number Game,minimum-number-game,64582,75620
3221,2951,Find the Peaks,find-the-peaks,40582,54006
3220,2960,Count Tested Devices After Test Operations,count-tested-devices-after-test-operations,35847,44388
3215,2946,Matrix Similarity After Cyclic Shifts,matrix-similarity-after-cyclic-shifts,20957,36378
3207,2937,Make Three Strings Equal,make-three-strings-equal,25817,60669
3206,2956,Find Common Elements Between Two Arrays,find-common-elements-between-two-arrays,47502,57470
3199,2928,Distribute Candies Among Children I,distribute-candies-among-children-i,22836,30398
3194,2942,Find Words Containing Character,find-words-containing-character,106528,120735
3193,2932,Maximum Strong Pair XOR I,maximum-strong-pair-xor-i,31855,42040
3188,2923,Find Champion I,find-champion-i,33804,46363
3183,2917,Find the K-or of an Array,find-the-k-or-of-an-array,23829,31913
3176,2908,Minimum Sum of Mountain Triplets I,minimum-sum-of-mountain-triplets-i,31985,49599
3172,2894,Divisible and Non-divisible Sums Difference,divisible-and-non-divisible-sums-difference,71676,81021
3165,2903,Find Indices With Index and Value Difference I,find-indices-with-index-and-value-difference-i,36626,59001
3164,2899,Last Visited Integers,last-visited-integers,24993,38006
3163,2913,Subarrays Distinct Element Sum of Squares I,subarrays-distinct-element-sum-of-squares-i,29906,36266
3154,2873,Maximum Value of an Ordered Triplet I,maximum-value-of-an-ordered-triplet-i,35486,78354
3143,2900,Longest Unequal Adjacent Groups Subsequence I,longest-unequal-adjacent-groups-subsequence-i,23751,37209
3093,2859,Sum of Values at Indices With K Set Bits,sum-of-values-at-indices-with-k-set-bits,63210,73196
3076,2878,Get the Size of a DataFrame,get-the-size-of-a-dataframe,57379,67788
3075,2883,Drop Missing Data,drop-missing-data,36853,57554
3074,2880,Select Data,select-data,47640,60828
3073,2890,Reshape Data: Melt,reshape-data-melt,26827,31654
3072,2889,Reshape Data: Pivot,reshape-data-pivot,28228,35217
3071,2882,Drop Duplicate Rows,drop-duplicate-rows,39583,46814
3070,2887,Fill Missing Data,fill-missing-data,32428,45280
3069,2886,Change Data Type,change-data-type,33870,39018
3068,2885,Rename Columns,rename-columns,34814,41102
3067,2884,Modify Columns,modify-columns,40634,44518
3066,2881,Create a New Column,create-a-new-column,44866,50011
3065,2879,Display the First Three Rows,display-the-first-three-rows,61027,65963
3064,2888,Reshape Data: Concatenate,reshape-data-concatenate,33974,37698
3063,2891,Method Chaining,method-chaining,28135,37615
3062,2877,Create a DataFrame from List,create-a-dataframe-from-list,74505,91974
3055,2864,Maximum Odd Binary Number,maximum-odd-binary-number,189767,228522
3045,2855,Minimum Right Shifts to Sort the Array,minimum-right-shifts-to-sort-the-array,32153,55726
3044,2869,Minimum Operations to Collect Elements,minimum-operations-to-collect-elements,33531,56182
