stat.question_id,stat.frontend_question_id,stat.question__title,stat.question__title_slug,stat.total_acs,stat.total_submitted
3431,3149,Find the Minimum Cost Array Permutation,find-the-minimum-cost-array-permutation,1700,9806
3411,3145,Find Products of Elements of Big Array,find-products-of-elements-of-big-array,675,4207
3407,3130,Find All Possible Stable Binary Arrays II,find-all-possible-stable-binary-arrays-ii,2104,7577
3402,3139,Minimum Cost to Equalize Array,minimum-cost-to-equalize-array,2819,19077
3386,3123,Find Edges in Shortest Paths,find-edges-in-shortest-paths,9294,17992
3382,3113,Find the Number of Subarrays Where Boundary Elements Are Maximum,find-the-number-of-subarrays-where-boundary-elements-are-maximum,8225,28513
3376,3093,Longest Common Suffix Queries,longest-common-suffix-queries,7911,18982
3375,3116,Kth Smallest Amount With Single Denomination Combination,kth-smallest-amount-with-single-denomination-combination,6600,43777
3364,3117,Minimum Sum of Values by Dividing Array,minimum-sum-of-values-by-dividing-array,3749,13576
3362,3134,Find the Median of the Uniqueness Array,find-the-median-of-the-uniqueness-array,4124,15089
3350,3072,Distribute Elements Into Two Arrays II,distribute-elements-into-two-arrays-ii,9102,34374
3348,3108,Minimum Cost Walk in Weighted Graph,minimum-cost-walk-in-weighted-graph,10197,22142
3345,3082,Find the Sum of the Power of All Subsequences,find-the-sum-of-the-power-of-all-subsequences,6251,16156
3344,3102,Minimize Manhattan Distances,minimize-manhattan-distances,7314,22957
3327,3086,Minimum Moves to Pick K Ones,minimum-moves-to-pick-k-ones,2518,10654
3316,3098,Find the Sum of Subsequence Powers,find-the-sum-of-subsequence-powers,3928,16120
3313,3077,Maximum Strength of K Disjoint Subarrays,maximum-strength-of-k-disjoint-subarrays,5548,19941
3310,3017,Count the Number of Houses at a Certain Distance II,count-the-number-of-houses-at-a-certain-distance-ii,2590,12339
3307,3068,Find the Maximum Sum of Node Values,find-the-maximum-sum-of-node-values,5551,13793
3305,3045,Count Prefix and Suffix Pairs II,count-prefix-and-suffix-pairs-ii,7201,30555
3303,3008,Find Beautiful Indices in the Given Array II,find-beautiful-indices-in-the-given-array-ii,9249,38896
3298,3041,Maximize Consecutive Elements in an Array After Modification,maximize-consecutive-elements-in-an-array-after-modification,6733,21554
3296,3031,Minimum Time to Revert Word to Initial State II,minimum-time-to-revert-word-to-initial-state-ii,10240,28783
3290,3036,Number of Subarrays That Match a Pattern II,number-of-subarrays-that-match-a-pattern-ii,10234,32011
3289,3049,Earliest Second to Mark Indices II,earliest-second-to-mark-indices-ii,2024,9152
