stat.question_id,stat.frontend_question_id,stat.question__title,stat.question__title_slug,stat.total_acs,stat.total_submitted
3419,3143,Maximum Points Inside the Square,maximum-points-inside-the-square,11723,32469
3406,3129,Find All Possible Stable Binary Arrays I,find-all-possible-stable-binary-arrays-i,6010,22466
3405,3121,Count the Number of Special Characters II,count-the-number-of-special-characters-ii,26793,65411
3404,3122,Minimum Number of Operations to Satisfy Conditions,minimum-number-of-operations-to-satisfy-conditions,12360,30354
3403,3144,Minimum Substring Partition of Equal Character Frequency,minimum-substring-partition-of-equal-character-frequency,8035,20815
3399,3132,Find the Integer Added to Array II,find-the-integer-added-to-array-ii,17968,59161
3395,3138,Minimum Length of Anagram Concatenation,minimum-length-of-anagram-concatenation,24287,56852
3394,3133,Minimum Array End,minimum-array-end,11336,30446
3391,3148,Maximum Difference Score in a Grid,maximum-difference-score-in-a-grid,9766,21254
3390,3111,Minimum Rectangles to Cover Points,minimum-rectangles-to-cover-points,23346,36580
3389,3112,Minimum Time to Visit Disappearing Nodes,minimum-time-to-visit-disappearing-nodes,15214,45082
3388,3128,Right Triangles,right-triangles,15864,33920
3387,3107,Minimum Operations to Make Median of Array Equal to K,minimum-operations-to-make-median-of-array-equal-to-k,21912,45066
3384,3137,Minimum Number of Operations to Make Word K-Periodic,minimum-number-of-operations-to-make-word-k-periodic,20331,32469
3383,3147,Taking Maximum Energy From the Mystic Dungeon,taking-maximum-energy-from-the-mystic-dungeon,18507,51041
3380,3097,Shortest Subarray With OR at Least K II,shortest-subarray-with-or-at-least-k-ii,11305,38999
3374,3101,Count Alternating Subarrays,count-alternating-subarrays,30118,52987
3373,3115,Maximum Prime Difference,maximum-prime-difference,33157,56715
3363,3092,Most Frequent IDs,most-frequent-ids,17644,41669
3360,3085,Minimum Deletions to Make String K-Special,minimum-deletions-to-make-string-k-special,17974,40656
3356,3076,Shortest Uncommon Substring in an Array,shortest-uncommon-substring-in-an-array,19493,43320
3355,3096,Minimum Levels to Gain More Points,minimum-levels-to-gain-more-points,19999,49163
3354,3081,Replace Question Marks in String to Minimize Its Value,replace-question-marks-in-string-to-minimize-its-value,11963,45209
3351,3075,Maximize Happiness of Selected Children,maximize-happiness-of-selected-children,166160,301160
3346,3106,Lexicographically Smallest String After Operations With Constraint,lexicographically-smallest-string-after-operations-with-constraint,22914,36036
3338,3070,Count Submatrices with Top-Left Element and Sum Less Than k,count-submatrices-with-top-left-element-and-sum-less-than-k,24200,40980
3337,3084,Count Substrings Starting and Ending with Given Character,count-substrings-starting-and-ending-with-given-character,33704,69148
3336,3100,Water Bottles II,water-bottles-ii,28638,45586
3335,3071,Minimum Operations to Write the Letter Y on a Grid,minimum-operations-to-write-the-letter-y-on-a-grid,15803,25448
3332,3066,Minimum Operations to Exceed Threshold Value II,minimum-operations-to-exceed-threshold-value-ii,26290,97111
3329,3043,Find the Length of the Longest Common Prefix,find-the-length-of-the-longest-common-prefix,19529,59735
3328,3091,Apply Operations to Make Sum of Array Greater Than or Equal to k,apply-operations-to-make-sum-of-array-greater-than-or-equal-to-k,25670,57402
